benchmark,gridsyn_t_count,gridsyn_t_depth,gridsyn_clifford,rustiq_t_count,rustiq_t_depth,rustiq_clifford,ncf_one_t_count,ncf_one_t_depth,ncf_one_clifford,ncf_two_t_count,ncf_two_t_depth,ncf_two_clifford
LiH,1419,1352,12774,1397,757,8890,818,716,5767,49,42,5289
H2O,3903,3791,26873,3662,2497,14448,1262,1035,14434,375,303,11583
N2,7537,7431,82196,7138,4237,52431,3578,3101,45955,541,516,41575
Ising-2D-30,790,190,1959,790,90,1515,362,29,833,111,16,582
Ising-2D-60,1640,290,4156,1640,160,3184,832,20,1408,230,20,1258
Ising-3D-30,890,220,2153,890,90,1786,302,24,704,119,21,675
Ising-3D-60,1930,280,4763,1930,190,3899,764,26,1921,253,26,1462
Heisenberg-2D-30,2352,864,4570,2352,556,4531,521,87,1222,224,52,1117
Heisenberg-2D-60,4993,1345,9725,4972,736,9665,1131,94,2679,493,80,2479
Heisenberg-3D-30,2832,1008,5831,2832,720,5465,652,108,1523,253,68,1378
Heisenberg-3D-60,6384,1872,16449,6382,1296,12344,1481,115,3472,640,107,3234

